ticker,year,coverage_pct,days,status
MAGASIN GENERAL,2021,0.0,0,missing_year
MAGASIN GENERAL,2022,0.0,0,missing_year
MAGASIN GENERAL,2023,0.0,0,missing_year
MAGASIN GENERAL,2024,0.0,0,missing_year
MAGASIN GENERAL,2025,0.0,0,missing_year
MODERN LEASING,2017,63.095238095238095,159,partial_year
MODERN LEASING,2018,0.0,0,missing_year
MODERN LEASING,2019,0.0,0,missing_year
MODERN LEASING,2020,0.0,0,missing_year
MODERN LEASING,2021,0.0,0,missing_year
MODERN LEASING,2022,0.0,0,missing_year
MODERN LEASING,2023,0.0,0,missing_year
MODERN LEASING,2024,0.0,0,missing_year
MODERN LEASING,2025,0.0,0,missing_year
MONOPRIX,2023,0.0,0,missing_year
MONOPRIX,2024,0.0,0,missing_year
MONOPRIX,2025,0.0,0,missing_year
NEW BODY LINE,2016,0.0,0,missing_year
NEW BODY LINE,2017,0.0,0,missing_year
NEW BODY LINE,2018,0.0,0,missing_year
NEW BODY LINE,2019,0.0,0,missing_year
NEW BODY LINE,2020,0.0,0,missing_year
OFFICEPLAST,2016,0.0,0,missing_year
OFFICEPLAST,2017,0.0,0,missing_year
OFFICEPLAST,2018,0.0,0,missing_year
OFFICEPLAST,2019,0.0,0,missing_year
OFFICEPLAST,2020,0.0,0,missing_year
OFFICEPLAST,2021,0.0,0,missing_year
OFFICEPLAST,2022,0.0,0,missing_year
OFFICEPLAST,2023,0.0,0,missing_year
OFFICEPLAST,2024,0.0,0,missing_year
SERVICOM,2016,0.0,0,missing_year
SERVICOM,2017,0.0,0,missing_year
SERVICOM,2018,0.0,0,missing_year
SERVICOM,2019,0.0,0,missing_year
SERVICOM,2020,0.0,0,missing_year
SERVICOM,2021,48.80952380952381,123,partial_year
SERVICOM,2022,0.0,0,missing_year
SERVICOM,2023,0.0,0,missing_year
SERVICOM,2024,0.0,0,missing_year
SERVICOM,2025,0.0,0,missing_year
SIMPAR,2017,59.92063492063492,151,partial_year
SIMPAR,2020,12.3015873015873,31,partial_year
SIMPAR,2022,0.0,0,missing_year
SIMPAR,2023,0.0,0,missing_year
SIMPAR,2024,0.0,0,missing_year
SIMPAR,2025,0.0,0,missing_year
SITS,2019,0.0,0,missing_year
SITS,2020,0.0,0,missing_year
SITS,2021,0.0,0,missing_year
SITS,2022,0.0,0,missing_year
SITS,2023,0.0,0,missing_year
SITS,2024,0.0,0,missing_year
SITS,2025,0.0,0,missing_year
SMART TUNISIE,2016,0.0,0,missing_year
SMART TUNISIE,2017,0.0,0,missing_year
SMART TUNISIE,2018,0.0,0,missing_year
SMART TUNISIE,2019,0.0,0,missing_year
SMART TUNISIE,2020,0.0,0,missing_year
SMART TUNISIE,2021,1.984126984126984,5,partial_year
SOMOCER,2024,0.0,0,missing_year
SOMOCER,2025,0.0,0,missing_year
SOPAT,2021,48.80952380952381,123,partial_year
SOPAT,2024,0.0,0,missing_year
SOPAT,2025,0.0,0,missing_year
SPDIT - SICAF,2016,0.0,0,missing_year
SPDIT - SICAF,2017,0.0,0,missing_year
SPDIT - SICAF,2018,0.0,0,missing_year
SPDIT - SICAF,2019,0.0,0,missing_year
SPDIT - SICAF,2020,0.0,0,missing_year
SPDIT - SICAF,2021,0.0,0,missing_year
SPDIT - SICAF,2022,0.0,0,missing_year
SPDIT - SICAF,2023,0.0,0,missing_year
STA,2016,0.0,0,missing_year
STA,2017,0.0,0,missing_year
STA,2018,0.0,0,missing_year
STA,2019,0.0,0,missing_year
STA,2020,0.0,0,missing_year
STA,2021,0.0,0,missing_year
STAR,2020,0.0,0,missing_year
STAR,2021,0.0,0,missing_year
STAR,2022,0.0,0,missing_year
STAR,2023,0.0,0,missing_year
STAR,2024,0.0,0,missing_year
TAWASOL GP HOLDING,2016,0.0,0,missing_year
TAWASOL GP HOLDING,2017,0.0,0,missing_year
TAWASOL GP HOLDING,2018,0.0,0,missing_year
TAWASOL GP HOLDING,2019,0.0,0,missing_year
TAWASOL GP HOLDING,2020,0.0,0,missing_year
TAWASOL GP HOLDING,2021,48.80952380952381,123,partial_year
TAWASOL GP HOLDING,2023,0.0,0,missing_year
TAWASOL GP HOLDING,2024,0.0,0,missing_year
TAWASOL GP HOLDING,2025,0.0,0,missing_year
TUNIS RE,2022,0.0,0,missing_year
TUNIS RE,2023,0.0,0,missing_year
TUNIS RE,2025,0.0,0,missing_year
TUNISAIR,2021,48.80952380952381,123,partial_year
TUNISAIR,2022,0.0,0,missing_year
TUNISAIR,2023,0.0,0,missing_year
