epoch,lr-Adam,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.001,0,,,,,,,
0,,9,,0.681901216506958,,,,,
0,,19,,0.6760343909263611,,,,,
0,,29,,0.6808249950408936,,,,,
0,,39,,0.6977604627609253,,,,,
0,,49,,0.6423514485359192,,,,,
0,,59,,0.6676915884017944,,,,,
0,,69,,0.6624217629432678,,,,,
0,,79,,0.659393310546875,,,,,
0,,89,,0.6812940239906311,,,,,
0,,99,,0.6717629432678223,,,,,
0,,109,,0.6509028673171997,,,,,
0,,119,,0.6881343126296997,,,,,
0,,129,,0.6808251738548279,,,,,
0,,139,,0.678749144077301,,,,,
0,,149,,0.6705253720283508,,,,,
0,,159,,0.6867632269859314,,,,,
0,,169,,0.7039520740509033,,,,,
0,,179,,0.702667236328125,,,,,
0,,189,,0.6464276909828186,,,,,
0,,199,,0.6629267930984497,,,,,
0,,209,,0.6613167524337769,,,,,
0,,219,,0.6779902577400208,,,,,
0,,229,,0.6705911755561829,,,,,
0,,239,,0.6636134386062622,,,,,
0,,249,,0.6651729345321655,,,,,
0,,259,,0.6641126275062561,,,,,
0,,269,,0.6825395226478577,,,,,
0,,279,,0.6817713975906372,,,,,
0,,289,,0.6912089586257935,,,,,
0,,299,,0.6721366047859192,,,,,
0,,309,,0.6444440484046936,,,,,
0,,319,,0.6721125245094299,,,,,
0,,329,,0.6822357177734375,,,,,
0,,339,,0.6843956708908081,,,,,
0,,349,,0.67877197265625,,,,,
0,,359,,0.6672188639640808,,,,,
0,,369,,0.6747763156890869,,,,,
0,,379,,0.6726335883140564,,,,,
0,,389,,0.6919054388999939,,,,,
0,,399,,0.6487342715263367,,,,,
0,,409,,0.6796590089797974,,,,,
0,,419,,0.6668605208396912,,,,,
0,,429,,0.6751905083656311,,,,,
0,,439,,0.6560841202735901,,,,,
0,,449,,0.6987174153327942,,,,,
0,,459,,0.6822139024734497,,,,,
0,,469,,0.6844461560249329,,,,,
0,,479,,0.6745823621749878,,,,,
0,,489,,0.6863795518875122,,,,,
0,,499,,0.6687394976615906,,,,,
0,,509,,0.6736788749694824,,,,,
0,,519,,0.6720188856124878,,,,,
0,,529,,0.6831578016281128,,,,,
0,,539,,0.6872035264968872,,,,,
0,,549,,0.6621970534324646,,,,,
0,,559,,0.6825702786445618,,,,,
0,,569,,0.687517523765564,,,,,
0,,579,,0.6720479726791382,,,,,
0,,589,,0.6412571668624878,,,,,
0,,599,,0.6278206706047058,,,,,
0,,609,,0.694122314453125,,,,,
0,,619,,0.666591465473175,,,,,
0,,629,,0.6716875433921814,,,,,
0,,639,,0.6651197075843811,,,,,
0,,649,,0.6762324571609497,,,,,
0,,659,,0.6927337646484375,,,,,
0,,669,,0.6644377708435059,,,,,
0,,679,,0.6479261517524719,,,,,
0,,689,,0.6775054931640625,,,,,
0,,699,,0.6826837658882141,,,,,
0,,709,,0.6625658273696899,,,,,
0,,719,,0.6505565047264099,,,,,
0,,729,,0.6519666314125061,,,,,
0,,739,,0.6841785907745361,,,,,
0,,749,,0.6733441948890686,,,,,
0,,759,,0.6547304391860962,,,,,
0,,769,,0.6566750407218933,,,,,
0,,779,,0.679773211479187,,,,,
0,,789,,0.6477360129356384,,,,,
0,,799,,0.6486119031906128,,,,,
0,,809,,0.6685195565223694,,,,,
0,,819,,0.6837485432624817,,,,,
0,,829,,0.6412959098815918,,,,,
0,,839,,0.6732127070426941,,,,,
0,,849,,0.6783338189125061,,,,,
0,,859,,0.6797114610671997,,,,,
0,,869,,0.6586020588874817,,,,,
0,,879,,0.6771169304847717,,,,,
0,,889,,0.6722171902656555,,,,,
0,,899,,0.6475437879562378,,,,,
0,,909,,0.6733986735343933,,,,,
0,,919,,0.6950125098228455,,,,,
0,,920,,,0.33834585547447205,4761905.0,0.5816750526428223,0.6766917109489441,0.6373893618583679
0,,920,0.6747155785560608,,,,,,
,0.001,921,,,,,,,
1,,929,,0.6522979736328125,,,,,
1,,939,,0.6667841672897339,,,,,
